video_id,url,status,message,path
k4UyUBGnojU,https://www.youtube.com/watch?v=k4UyUBGnojU,ok,downloaded,data/raw_vtt
l5WybwqCZic,https://www.youtube.com/watch?v=l5WybwqCZic,ok,downloaded,data/raw_vtt
lPzT62_b4Ko,https://www.youtube.com/watch?v=lPzT62_b4Ko,ok,downloaded,data/raw_vtt
lbzn5iz8Mbo,https://www.youtube.com/watch?v=lbzn5iz8Mbo,ok,downloaded,data/raw_vtt
lylGyddTiGg,https://www.youtube.com/watch?v=lylGyddTiGg,ok,downloaded,data/raw_vtt
mWNygxUPNsA,https://www.youtube.com/watch?v=mWNygxUPNsA,ok,downloaded,data/raw_vtt
mXHAuV27bs8,https://www.youtube.com/watch?v=mXHAuV27bs8,ok,downloaded,data/raw_vtt
mbJ7OWRGmfc,https://www.youtube.com/watch?v=mbJ7OWRGmfc,ok,downloaded,data/raw_vtt
mfJTOfFbTHA,https://www.youtube.com/watch?v=mfJTOfFbTHA,ok,downloaded,data/raw_vtt
n2CCReA6v4E,https://www.youtube.com/watch?v=n2CCReA6v4E,ok,downloaded,data/raw_vtt
nDJHQz2JHeA,https://www.youtube.com/watch?v=nDJHQz2JHeA,ok,downloaded,data/raw_vtt
ogNBtf3APFM,https://www.youtube.com/watch?v=ogNBtf3APFM,ok,downloaded,data/raw_vtt
okxnQ0iwizk,https://www.youtube.com/watch?v=okxnQ0iwizk,miss,no subtitles or rate-limited,
pCQovPrsM2k,https://www.youtube.com/watch?v=pCQovPrsM2k,ok,downloaded,data/raw_vtt
qIcSIC_IjfM,https://www.youtube.com/watch?v=qIcSIC_IjfM,ok,downloaded,data/raw_vtt
qRY-foz-ZAw,https://www.youtube.com/watch?v=qRY-foz-ZAw,ok,downloaded,data/raw_vtt
qgeQ5kMVwRA,https://www.youtube.com/watch?v=qgeQ5kMVwRA,ok,downloaded,data/raw_vtt
qw8wMELZ5dI,https://www.youtube.com/watch?v=qw8wMELZ5dI,ok,downloaded,data/raw_vtt
rGD1BYD6N2Y,https://www.youtube.com/watch?v=rGD1BYD6N2Y,ok,downloaded,data/raw_vtt
sGQW8Tx78hM,https://www.youtube.com/watch?v=sGQW8Tx78hM,ok,downloaded,data/raw_vtt
tokEa2DGcaA,https://www.youtube.com/watch?v=tokEa2DGcaA,ok,downloaded,data/raw_vtt
uAJ6-X3ESS4,https://www.youtube.com/watch?v=uAJ6-X3ESS4,ok,downloaded,data/raw_vtt
uHpN1FQ-Hvo,https://www.youtube.com/watch?v=uHpN1FQ-Hvo,ok,downloaded,data/raw_vtt
ujRwf1HdNjk,https://www.youtube.com/watch?v=ujRwf1HdNjk,ok,downloaded,data/raw_vtt
wQJlGHVmdrA,https://www.youtube.com/watch?v=wQJlGHVmdrA,ok,downloaded,data/raw_vtt
wvwCZO9UKZE,https://www.youtube.com/watch?v=wvwCZO9UKZE,ok,downloaded,data/raw_vtt
yaf1swrS1_c,https://www.youtube.com/watch?v=yaf1swrS1_c,ok,downloaded,data/raw_vtt
yb-srtyEOuY,https://www.youtube.com/watch?v=yb-srtyEOuY,miss,no subtitles or rate-limited,
z3njgh2nFRk,https://www.youtube.com/watch?v=z3njgh2nFRk,ok,downloaded,data/raw_vtt
-6OvPV24PdA,https://www.youtube.com/watch?v=-6OvPV24PdA,ok,downloaded,data/raw_vtt
-6PDBVRkCKc,https://www.youtube.com/watch?v=-6PDBVRkCKc,ok,downloaded,data/raw_vtt
-7Bxwg19-YA,https://www.youtube.com/watch?v=-7Bxwg19-YA,ok,downloaded,data/raw_vtt
-GO3WTVYJ3w,https://www.youtube.com/watch?v=-GO3WTVYJ3w,ok,downloaded,data/raw_vtt
-Hwlvkfp698,https://www.youtube.com/watch?v=-Hwlvkfp698,ok,already_downloaded,data/raw_vtt
-JMjiNAIa5o,https://www.youtube.com/watch?v=-JMjiNAIa5o,ok,downloaded,data/raw_vtt
-OHAf_yKTSg,https://www.youtube.com/watch?v=-OHAf_yKTSg,ok,downloaded,data/raw_vtt
-RJb_dvD7dQ,https://www.youtube.com/watch?v=-RJb_dvD7dQ,ok,downloaded,data/raw_vtt
-YUS9jMfaCQ,https://www.youtube.com/watch?v=-YUS9jMfaCQ,ok,downloaded,data/raw_vtt
-_2SPU3GqB4,https://www.youtube.com/watch?v=-_2SPU3GqB4,ok,downloaded,data/raw_vtt
-frhAz_H3aI,https://www.youtube.com/watch?v=-frhAz_H3aI,ok,downloaded,data/raw_vtt
-n6r_nacEdY,https://www.youtube.com/watch?v=-n6r_nacEdY,ok,downloaded,data/raw_vtt
-uXdV2eKIpA,https://www.youtube.com/watch?v=-uXdV2eKIpA,ok,downloaded,data/raw_vtt
-vg5-HzSfmA,https://www.youtube.com/watch?v=-vg5-HzSfmA,ok,already_downloaded,data/raw_vtt
-vyi_Q_sDxU,https://www.youtube.com/watch?v=-vyi_Q_sDxU,ok,downloaded,data/raw_vtt
-wkQA_oxOwA,https://www.youtube.com/watch?v=-wkQA_oxOwA,ok,downloaded,data/raw_vtt
-x3VV_H6ZZ4,https://www.youtube.com/watch?v=-x3VV_H6ZZ4,ok,downloaded,data/raw_vtt
-xcvWKurtPI,https://www.youtube.com/watch?v=-xcvWKurtPI,ok,downloaded,data/raw_vtt
-xjneW1XZBs,https://www.youtube.com/watch?v=-xjneW1XZBs,ok,already_downloaded,data/raw_vtt
-zf1iuRzXac,https://www.youtube.com/watch?v=-zf1iuRzXac,ok,downloaded,data/raw_vtt
05pUw-1LqvM,https://www.youtube.com/watch?v=05pUw-1LqvM,ok,downloaded,data/raw_vtt
08VrZoWOq_A,https://www.youtube.com/watch?v=08VrZoWOq_A,ok,already_downloaded,data/raw_vtt
0Aqz8mwtHZE,https://www.youtube.com/watch?v=0Aqz8mwtHZE,ok,downloaded,data/raw_vtt
0C5YbA9Q3lk,https://www.youtube.com/watch?v=0C5YbA9Q3lk,ok,downloaded,data/raw_vtt
0CA1fxphRiE,https://www.youtube.com/watch?v=0CA1fxphRiE,ok,downloaded,data/raw_vtt
0GQozcTPyO0,https://www.youtube.com/watch?v=0GQozcTPyO0,ok,already_downloaded,data/raw_vtt
0KDESUdPRXs,https://www.youtube.com/watch?v=0KDESUdPRXs,ok,already_downloaded,data/raw_vtt
0LNMHSf0cpc,https://www.youtube.com/watch?v=0LNMHSf0cpc,ok,downloaded,data/raw_vtt
0MbHTwzxmzA,https://www.youtube.com/watch?v=0MbHTwzxmzA,ok,downloaded,data/raw_vtt
0O-m3FvD5DE,https://www.youtube.com/watch?v=0O-m3FvD5DE,ok,downloaded,data/raw_vtt
0UigeHnCEoU,https://www.youtube.com/watch?v=0UigeHnCEoU,ok,downloaded,data/raw_vtt
0VBtBRpwv4g,https://www.youtube.com/watch?v=0VBtBRpwv4g,ok,downloaded,data/raw_vtt
0ZggVv2rXtU,https://www.youtube.com/watch?v=0ZggVv2rXtU,ok,downloaded,data/raw_vtt
0dkEjcW_DLI,https://www.youtube.com/watch?v=0dkEjcW_DLI,ok,downloaded,data/raw_vtt
0e1_lYFwoqM,https://www.youtube.com/watch?v=0e1_lYFwoqM,ok,downloaded,data/raw_vtt
0e6u9JR-o6o,https://www.youtube.com/watch?v=0e6u9JR-o6o,ok,downloaded,data/raw_vtt
0gOHy74y1hE,https://www.youtube.com/watch?v=0gOHy74y1hE,ok,downloaded,data/raw_vtt
0kevW-7Gx0g,https://www.youtube.com/watch?v=0kevW-7Gx0g,ok,downloaded,data/raw_vtt
0lUvqCp5-Bo,https://www.youtube.com/watch?v=0lUvqCp5-Bo,ok,downloaded,data/raw_vtt
0pCEHZct99I,https://www.youtube.com/watch?v=0pCEHZct99I,ok,downloaded,data/raw_vtt
0wXWEdipBEg,https://www.youtube.com/watch?v=0wXWEdipBEg,ok,already_downloaded,data/raw_vtt
10enqcw2Qiw,https://www.youtube.com/watch?v=10enqcw2Qiw,ok,already_downloaded,data/raw_vtt
10rLYio583E,https://www.youtube.com/watch?v=10rLYio583E,ok,downloaded,data/raw_vtt
133Ag4_BvCw,https://www.youtube.com/watch?v=133Ag4_BvCw,ok,downloaded,data/raw_vtt
14oX4-4Cnnc,https://www.youtube.com/watch?v=14oX4-4Cnnc,ok,downloaded,data/raw_vtt
18iBvgUbSMk,https://www.youtube.com/watch?v=18iBvgUbSMk,ok,already_downloaded,data/raw_vtt
1CO7Ya7FAMc,https://www.youtube.com/watch?v=1CO7Ya7FAMc,ok,downloaded,data/raw_vtt
1DV6I5hK6ro,https://www.youtube.com/watch?v=1DV6I5hK6ro,ok,already_downloaded,data/raw_vtt
1J_sADRrFm0,https://www.youtube.com/watch?v=1J_sADRrFm0,ok,downloaded,data/raw_vtt
1JnLQKhNSq0,https://www.youtube.com/watch?v=1JnLQKhNSq0,ok,downloaded,data/raw_vtt
1L7Cc68vXQQ,https://www.youtube.com/watch?v=1L7Cc68vXQQ,ok,downloaded,data/raw_vtt
1N1sM5sCRc4,https://www.youtube.com/watch?v=1N1sM5sCRc4,ok,downloaded,data/raw_vtt
1NB-96RBIXs,https://www.youtube.com/watch?v=1NB-96RBIXs,ok,downloaded,data/raw_vtt
1PV5VJbYMtA,https://www.youtube.com/watch?v=1PV5VJbYMtA,ok,downloaded,data/raw_vtt
1RqY5EYOM0k,https://www.youtube.com/watch?v=1RqY5EYOM0k,ok,downloaded,data/raw_vtt
1SavpBUUy2Q,https://www.youtube.com/watch?v=1SavpBUUy2Q,ok,downloaded,data/raw_vtt
1Sgtk4HBdGA,https://www.youtube.com/watch?v=1Sgtk4HBdGA,ok,downloaded,data/raw_vtt
1UQNj_XFH8I,https://www.youtube.com/watch?v=1UQNj_XFH8I,ok,downloaded,data/raw_vtt
1ZFXHgbiqSU,https://www.youtube.com/watch?v=1ZFXHgbiqSU,ok,downloaded,data/raw_vtt
1cggRSo1GfU,https://www.youtube.com/watch?v=1cggRSo1GfU,ok,downloaded,data/raw_vtt
1dTugkSSS2k,https://www.youtube.com/watch?v=1dTugkSSS2k,ok,downloaded,data/raw_vtt
1dXniLZ1sa4,https://www.youtube.com/watch?v=1dXniLZ1sa4,ok,downloaded,data/raw_vtt
1hgQRiXymbo,https://www.youtube.com/watch?v=1hgQRiXymbo,ok,downloaded,data/raw_vtt
1ihKmBvGdis,https://www.youtube.com/watch?v=1ihKmBvGdis,ok,downloaded,data/raw_vtt
1lq3f0acYIY,https://www.youtube.com/watch?v=1lq3f0acYIY,ok,downloaded,data/raw_vtt
1nM1iADTcYU,https://www.youtube.com/watch?v=1nM1iADTcYU,ok,downloaded,data/raw_vtt
1nP9-egrraM,https://www.youtube.com/watch?v=1nP9-egrraM,ok,downloaded,data/raw_vtt
1qgCgzQ6ic4,https://www.youtube.com/watch?v=1qgCgzQ6ic4,ok,downloaded,data/raw_vtt
1sQCMFfO6qc,https://www.youtube.com/watch?v=1sQCMFfO6qc,ok,downloaded,data/raw_vtt
1t6JztkC0C0,https://www.youtube.com/watch?v=1t6JztkC0C0,ok,downloaded,data/raw_vtt
20x8bzmUeFw,https://www.youtube.com/watch?v=20x8bzmUeFw,ok,downloaded,data/raw_vtt
237TvVJQINA,https://www.youtube.com/watch?v=237TvVJQINA,ok,downloaded,data/raw_vtt
25Bm0YhUb-c,https://www.youtube.com/watch?v=25Bm0YhUb-c,ok,downloaded,data/raw_vtt
25cQzrWPL5s,https://www.youtube.com/watch?v=25cQzrWPL5s,ok,downloaded,data/raw_vtt
2BcnXxIZdT4,https://www.youtube.com/watch?v=2BcnXxIZdT4,ok,downloaded,data/raw_vtt
2CYZbeYSvVE,https://www.youtube.com/watch?v=2CYZbeYSvVE,ok,already_downloaded,data/raw_vtt
2E3q06gAfI0,https://www.youtube.com/watch?v=2E3q06gAfI0,ok,downloaded,data/raw_vtt
2If31DruBsg,https://www.youtube.com/watch?v=2If31DruBsg,ok,downloaded,data/raw_vtt
2LTISbE_Ez4,https://www.youtube.com/watch?v=2LTISbE_Ez4,ok,downloaded,data/raw_vtt
2NcJWiJxLZc,https://www.youtube.com/watch?v=2NcJWiJxLZc,ok,downloaded,data/raw_vtt
2Wds3P1W3w8,https://www.youtube.com/watch?v=2Wds3P1W3w8,ok,downloaded,data/raw_vtt
2_93FVvGLNs,https://www.youtube.com/watch?v=2_93FVvGLNs,ok,downloaded,data/raw_vtt
2_di2UOiyKI,https://www.youtube.com/watch?v=2_di2UOiyKI,ok,downloaded,data/raw_vtt
2a44zAVb4uk,https://www.youtube.com/watch?v=2a44zAVb4uk,ok,downloaded,data/raw_vtt
2bUfUN9wUrs,https://www.youtube.com/watch?v=2bUfUN9wUrs,ok,already_downloaded,data/raw_vtt
2g2n_CkAolg,https://www.youtube.com/watch?v=2g2n_CkAolg,ok,downloaded,data/raw_vtt
2hy05-dM-lM,https://www.youtube.com/watch?v=2hy05-dM-lM,ok,already_downloaded,data/raw_vtt
2j3T4oYJPfI,https://www.youtube.com/watch?v=2j3T4oYJPfI,ok,already_downloaded,data/raw_vtt
2kojrlSKPLc,https://www.youtube.com/watch?v=2kojrlSKPLc,ok,downloaded,data/raw_vtt
2tH6P00RhFY,https://www.youtube.com/watch?v=2tH6P00RhFY,ok,downloaded,data/raw_vtt
2uoyl5A0xhE,https://www.youtube.com/watch?v=2uoyl5A0xhE,ok,downloaded,data/raw_vtt
2xQR_L2Wy7Y,https://www.youtube.com/watch?v=2xQR_L2Wy7Y,ok,downloaded,data/raw_vtt
2yg5_SmLCps,https://www.youtube.com/watch?v=2yg5_SmLCps,ok,downloaded,data/raw_vtt
37YUXv50fvo,https://www.youtube.com/watch?v=37YUXv50fvo,ok,downloaded,data/raw_vtt
39wNqf5LwyM,https://www.youtube.com/watch?v=39wNqf5LwyM,ok,downloaded,data/raw_vtt
3C185Gkgg0U,https://www.youtube.com/watch?v=3C185Gkgg0U,ok,already_downloaded,data/raw_vtt
3GVInaBCn_c,https://www.youtube.com/watch?v=3GVInaBCn_c,ok,already_downloaded,data/raw_vtt
